Temps;EA0;Temps;EA1;Temps;I
0;0.724463060498238;0;2.72981050610542;0;0.00646256779630979
1E-6;0.739339083433151;1E-6;2.78441665321589;1E-6;0.0130911457041899
2E-6;0.759173780679703;2E-6;2.84398699551821;2E-6;0.0114340012272199
3E-6;0.774049803614616;3E-6;2.89859314262867;3E-6;0.00811971227327983
4E-6;0.78892582654953;4E-6;2.95319928973913;4E-6;0.00646256779630979
5E-6;0.803801849484444;5E-6;3.00780543684959;5E-6;0.00646256779630979
6E-6;0.818677872419357;6E-6;3.06241158396006;6E-6;0.00314827884236972
7E-6;0.833553895354271;7E-6;3.12198192626238;7E-6;0.00149113436539968
8E-6;0.85834726691246;8E-6;3.18651646375656;8E-6;0.00811971227327983
9E-6;0.873223289847374;9E-6;3.23615841567516;9E-6;0.00314827884236972
1E-5;0.888099312782288;1E-5;3.29572875797749;1E-5;0.0346340239048004
1.1E-5;0.888099312782288;1.1E-5;3.33047812432051;1.1E-5;0.0296625904738903
1.2E-5;0.898016661405563;1.2E-5;3.38508427143097;1.2E-5;0.0396054573357105
1.3E-5;0.917851358652115;1.3E-5;3.44465461373329;1.3E-5;0.0578340465823809
1.4E-5;0.927768707275391;1.4E-5;3.49429656565189;1.4E-5;0.0545197576284409
1.5E-5;0.937686055898666;1.5E-5;3.54890271276236;1.5E-5;0.059491191059351
1.6E-5;0.947603404521942;1.6E-5;3.5935804694891;1.6E-5;0.059491191059351
1.7E-5;0.967438101768494;1.7E-5;3.65811500698328;1.7E-5;0.0578340465823809
1.8E-5;0.972396776080132;1.8E-5;3.70279276371002;1.8E-5;0.0512054686745008
1.9E-5;0.987272799015045;1.9E-5;3.75739891082048;1.9E-5;0.0379483128587405
2E-5;1.00214882194996;2E-5;3.81696925312281;2E-5;0.0561769021054109
2.1E-5;1.0071074962616;2.1E-5;3.87157540023327;2.1E-5;0.062805480013291
2.2E-5;1.02198351919651;2.2E-5;3.92121735215187;2.2E-5;0.0661197689672311
2.3E-5;1.03685954213142;2.3E-5;3.97582349926233;2.3E-5;0.0793769247829914
2.4E-5;1.03685954213142;2.4E-5;4.02050125598907;2.4E-5;0.0909769361217817
2.5E-5;1.0467768907547;2.5E-5;4.07014320790768;2.5E-5;0.0976055140296618
2.6E-5;1.05173556506634;2.6E-5;4.11978515982628;2.6E-5;0.107548380891482
2.7E-5;1.06165291368961;2.7E-5;4.16942711174488;2.7E-5;0.112519814322392
2.8E-5;1.06661158800125;2.8E-5;4.21410486847162;2.8E-5;0.112519814322392
2.9E-5;1.07652893662453;2.9E-5;4.26374682039022;2.9E-5;0.104234091937542
3E-5;1.08148761093616;3E-5;4.31338877230883;3E-5;0.107548380891482
3.1E-5;1.09140495955944;3.1E-5;4.35806652903557;3.1E-5;0.105891236414512
3.2E-5;1.09636363387108;3.2E-5;4.41267267614603;3.2E-5;0.104234091937542
3.3E-5;1.10628098249435;3.3E-5;4.46727882325649;3.3E-5;0.107548380891482
3.4E-5;1.11619833111763;3.4E-5;4.51195657998323;3.4E-5;0.119148392230272
3.5E-5;1.12115700542927;3.5E-5;4.56159853190184;3.5E-5;0.132405548046033
3.6E-5;1.12611567974091;3.6E-5;4.60131209343672;3.6E-5;0.140691270430883
3.7E-5;1.12611567974091;3.7E-5;4.64598985016346;3.7E-5;0.145662703861793
3.8E-5;1.14099170267582;3.8E-5;4.70059599727392;3.8E-5;0.160577004154523
3.9E-5;1.13107435405254;3.9E-5;4.73534536361694;3.9E-5;0.157262715200583
4E-5;1.13603302836418;4E-5;4.77505892515182;4E-5;0.162234148631493
4.1E-5;1.14099170267582;4.1E-5;4.82470087707043;4.1E-5;0.182119882355134
