Temps;EA0;Temps;EA1;Temps;I
0;0.0302486568689346;0;5.23176488280296;0;0.524436423927546
2E-6;-0.00446206331253052;2E-6;5.18212293088436;2E-6;0.523442137241364
4E-6;-0.0490901321172714;4E-6;5.12255258858204;4E-6;0.52195070721209
6E-6;-0.0937182009220123;6E-6;5.05801805108786;6E-6;0.527916427329183
8E-6;-0.133387595415115;8E-6;4.99844770878553;8E-6;0.524933567270637
1E-5;-0.168098315596581;1E-5;4.93391317129135;1E-5;0.522944993898273
1.2E-5;-0.212726384401321;1.2E-5;4.86441443860531;1.2E-5;0.513002127036452
1.4E-5;-0.252395778894424;1.4E-5;4.79491570591927;1.4E-5;0.510019266977906
1.6E-5;-0.282147824764252;1.6E-5;4.73534536361694;1.6E-5;0.506042120233178
1.8E-5;-0.326775893568993;1.8E-5;4.65591824054718;1.8E-5;0.503556403517723
2E-5;-0.371403962373734;2E-5;4.57649111747742;2E-5;0.508030693605542
2.2E-5;-0.401156008243561;2.2E-5;4.50699238479137;2.2E-5;0.500573543459177
2.4E-5;-0.445784077048302;2.4E-5;4.42260106652975;2.4E-5;0.491127819940448
2.6E-5;-0.480494797229767;2.6E-5;4.34317394345999;2.6E-5;0.479693523049355
2.8E-5;-0.510246843099594;2.8E-5;4.27367521077394;2.8E-5;0.48217923976481
3E-5;-0.539998888969421;3E-5;4.19921228289604;3E-5;0.475219232961535
3.2E-5;-0.5895856320858;3.2E-5;4.1048925742507;3.2E-5;0.470247799530625
3.4E-5;-0.619337677955627;3.4E-5;4.02050125598907;3.4E-5;0.45781921595335
3.6E-5;-0.654048398137093;3.6E-5;3.93114574253559;3.6E-5;0.453344925865531
3.8E-5;-0.678841769695282;3.8E-5;3.86164700984955;3.8E-5;0.441413485631347
4E-5;-0.703635141253471;4E-5;3.78221988677978;4E-5;0.432962048798799
4.2E-5;-0.728428512811661;4.2E-5;3.69782856851816;4.2E-5;0.426996328681707
4.4E-5;-0.768097907304764;4.4E-5;3.60350885987282;4.4E-5;0.41854489184916
4.6E-5;-0.797849953174591;4.6E-5;3.51911754161119;4.6E-5;0.409596311673522
4.8E-5;-0.827601999044418;4.8E-5;3.42479783296585;4.8E-5;0.399156301468611
5E-5;-0.852395370602608;5E-5;3.34040651470423;5E-5;0.391699151322246
5.2E-5;-0.862312719225884;5.2E-5;3.27587197721004;5.2E-5;0.377281994372606
5.4E-5;-0.882147416472435;5.4E-5;3.19148065894842;5.4E-5;0.367836270853877
5.6E-5;-0.906940788030624;5.6E-5;3.1070893406868;5.6E-5;0.35441340059042
5.8E-5;-0.936692833900452;5.8E-5;3.01276963204145;5.8E-5;0.352921970561147
6E-5;-0.946610182523727;6E-5;2.93830670416355;6E-5;0.339001956954598
6.2E-5;-0.961486205458641;6.2E-5;2.85887958109379;6.2E-5;0.328064803406596
6.4E-5;-0.976362228393555;6.4E-5;2.77945245802402;6.4E-5;0.311161929741502
6.6E-5;-0.991238251328468;6.6E-5;2.70002533495426;6.6E-5;0.299230489507318
6.8E-5;-0.996196925640106;6.8E-5;2.62556240707636;6.8E-5;0.290281909331679
7E-5;-1.01603162288666;7E-5;2.5461352840066;7E-5;0.278847612440586
7.2E-5;-1.0209902971983;7.2E-5;2.46670816093683;7.2E-5;0.273379035666585
7.4E-5;-1.02594897150993;7.4E-5;2.40713781863451;7.4E-5;0.258464735373855
7.6E-5;-1.03586632013321;7.6E-5;2.32771069556475;7.6E-5;0.242059005051851
7.8E-5;-1.03586632013321;7.8E-5;2.26317615807056;7.8E-5;0.226150418072939
8E-5;-1.03586632013321;8E-5;2.19864162057638;8E-5;0.218693267926574
8.2E-5;-1.03586632013321;8.2E-5;2.14403547346592;8.2E-5;0.210738974437118
8.4E-5;-1.04082499444485;8.4E-5;2.06957254558802;8.4E-5;0.200298964232206
8.6E-5;-1.03586632013321;8.6E-5;2.01000220328569;8.6E-5;0.184390377253294
8.8E-5;-1.04082499444485;8.8E-5;1.94546766579151;8.8E-5;0.173950367048383
9E-5;-1.03090764582157;9E-5;1.89582571387291;9E-5;0.155556063354015
9.2E-5;-1.01603162288666;9.2E-5;1.85114795714617;9.2E-5;0.145116053149104
9.4E-5;-1.00115559995174;9.4E-5;1.80647020041943;9.4E-5;0.136664616316557
9.6E-5;-1.00115559995174;9.6E-5;1.75186405330896;9.6E-5;0.126224606111646
9.8E-5;-0.996196925640106;9.8E-5;1.70222210139036;9.8E-5;0.117276025936008
0.0001;-0.981320902705193;0.0001;1.66250853985548;0.0001;0.0998760089278221
0.000102;-0.966444879770279;0.000102;1.6227949783206;0.000102;0.094904575496912
0.000104;-0.936692833900452;0.000104;1.60293819755316;0.000104;0.0789959885179996
0.000106;-0.9168581366539;0.000106;1.56322463601828;0.000106;0.0705445516854525
0.000108;-0.901982113718986;0.000108;1.52351107448339;0.000108;0.0581159681081772
0.00011;-0.892064765095711;0.00011;1.46890492737293;0.00011;0.051653104647994
0.000112;-0.862312719225884;0.000112;1.44408395141363;0.000112;0.0422073811292648
0.000114;-0.837519347667694;0.000114;1.40437038987875;0.000114;0.0322645142674446
0.000116;-0.82264332473278;0.000116;1.35969263315201;0.000116;0.0178473573178053
0.000118;-0.787932604551315;0.000118;1.33983585238457;0.000118;0.00889877714216709
0.00012;-0.75322188436985;0.00012;1.30508648604155;0.00012;-0.00154123306274414
0.000122;-0.738345861434937;0.000122;1.26537292450666;0.000122;-0.00601552315056324
0.000124;-0.713552489876747;0.000124;1.24055194854736;0.000124;-0.0085012398660183
0.000126;-0.673883095383644;0.000126;1.21573097258806;0.000126;-0.0189412500709295
0.000128;-0.649089723825455;0.000128;1.19090999662876;0.000128;-0.0283869735896587
0.00013;-0.619337677955627;0.00013;1.1611248254776;0.00013;-0.0452898472547531
0.000132;-0.579668283462524;0.000132;1.15616063028574;0.000132;-0.0433012738823891
0.000134;-0.544957563281059;0.000134;1.14126804471016;0.000134;-0.0477755639702082
0.000136;-0.52016419172287;0.000136;1.11644706875086;0.000136;-0.0507584240287542
0.000138;-0.485453471541405;0.000138;1.10651867836714;0.000138;-0.0592098608613014
0.00014;-0.455701425671577;0.00014;1.09162609279156;0.00014;-0.0681584410369396
0.000142;-0.416032031178474;0.000142;1.09162609279156;0.000142;-0.0751184478402138
0.000144;-0.376362636685371;0.000144;1.09659028798342;0.000144;-0.0795927379280329
0.000146;-0.336693242192268;0.000146;1.10651867836714;0.000146;-0.0781013078987598
0.000148;-0.311899870634079;0.000148;1.10651867836714;0.000148;-0.085558458045125
0.00015;-0.282147824764252;0.00015;1.111482873559;0.00015;-0.085061314702034
0.000152;-0.242478430271149;0.000152;1.13133965432644;0.000152;-0.0905298914760351
0.000154;-0.202809035778046;0.000154;1.15119643509388;0.000154;-0.0920213215053081
0.000156;-0.163139641284943;0.000156;1.1859458014369;0.000156;-0.0955013249069452
0.000158;-0.118511572480202;0.000158;1.22069516777992;0.000158;-0.0950041815638542
0.00016;-0.0838008522987366;0.00016;1.25544453412294;0.00016;-0.100472758337855
0.000162;-0.0590074807405472;0.000162;1.28522970527411;0.000162;-0.0959984682500362
0.000164;-0.0143794119358063;0.000164;1.33487165719271;0.000164;-0.0959984682500362
0.000166;0.0302486568689346;0.000166;1.39940619468689;0.000166;-0.0959984682500362
0.000168;0.0600007027387619;0.000168;1.44904814660549;0.000168;-0.0979870416224003
0.00017;0.094711422920227;0.00017;1.50365429371595;0.00017;-0.101964188367128
0.000172;0.139339491724968;0.000172;1.58308141678572;0.000172;-0.100969901680946
0.000174;0.169091537594795;0.000174;1.6476159542799;0.000174;-0.0955013249069452
0.000176;0.223636955022812;0.000176;1.75186405330896;0.000176;-0.084067028015852
0.000178;0.248430326581001;0.000178;1.82136278599501;0.000178;-0.085061314702034
0.00018;0.283141046762466;0.00018;1.91568249464035;0.00018;-0.085558458045125
