Temps;EA0;Temps;I
0;2.92115578055382;0;-0.00248435600237413
5E-7;2.92115578055382;5E-7;-0.0024392269551754
1E-6;2.92611445486546;1E-6;-0.00246179147877476
1.5E-6;2.92611445486546;1.5E-6;-0.0024392269551754
2E-6;2.92611445486546;2E-6;-0.00246179147877476
2.5E-6;2.92611445486546;2.5E-6;-0.00246179147877476
3E-6;2.91619710624218;3E-6;-0.00248435600237413
3.5E-6;2.91619710624218;3.5E-6;-0.00248435600237413
4E-6;2.92115578055382;4E-6;-0.00246179147877476
4.5E-6;2.91619710624218;4.5E-6;-0.00246179147877476
5E-6;2.9062797576189;5E-6;-0.00248435600237413
5.5E-6;2.91123843193054;5.5E-6;-0.00248435600237413
6E-6;2.91123843193054;6E-6;-0.00246179147877476
6.5E-6;2.9062797576189;6.5E-6;-0.00248435600237413
7E-6;2.91123843193054;7E-6;-0.00246179147877476
7.5E-6;2.9062797576189;7.5E-6;-0.00246179147877476
8E-6;2.9062797576189;8E-6;-0.00246179147877476
8.5E-6;2.90132108330727;8.5E-6;-0.00248435600237413
9E-6;2.9062797576189;9E-6;-0.00246179147877476
9.5E-6;2.89636240899563;9.5E-6;-0.00246179147877476
1E-5;2.9062797576189;1E-5;-0.0024392269551754
1.05E-5;2.90132108330727;1.05E-5;-0.00246179147877476
1.1E-5;2.90132108330727;1.1E-5;-0.00248435600237413
1.15E-5;2.89140373468399;1.15E-5;-0.00246179147877476
1.2E-5;2.89140373468399;1.2E-5;-0.00248435600237413
1.25E-5;2.89140373468399;1.25E-5;-0.00246179147877476
1.3E-5;2.89140373468399;1.3E-5;-0.00248435600237413
1.35E-5;2.88644506037235;1.35E-5;-0.0024392269551754
1.4E-5;2.89140373468399;1.4E-5;-0.00246179147877476
1.45E-5;2.89140373468399;1.45E-5;-0.00246179147877476
1.5E-5;2.88644506037235;1.5E-5;-0.00246179147877476
1.55E-5;2.89140373468399;1.55E-5;-0.0024392269551754
1.6E-5;2.87652771174908;1.6E-5;-0.00248435600237413
1.65E-5;2.88644506037235;1.65E-5;-0.0024392269551754
1.7E-5;2.88644506037235;1.7E-5;-0.00246179147877476
1.75E-5;2.87652771174908;1.75E-5;-0.00248435600237413
1.8E-5;2.87652771174908;1.8E-5;-0.00248435600237413
1.85E-5;2.88148638606071;1.85E-5;-0.00246179147877476
1.9E-5;2.87652771174908;1.9E-5;-0.0024392269551754
1.95E-5;2.87652771174908;1.95E-5;-0.00248435600237413
2E-5;2.87156903743744;2E-5;-0.00246179147877476
2.05E-5;2.8666103631258;2.05E-5;-0.00248435600237413
2.1E-5;2.87156903743744;2.1E-5;-0.0024392269551754
2.15E-5;2.8666103631258;2.15E-5;-0.00248435600237413
2.2E-5;2.87156903743744;2.2E-5;-0.00246179147877476
2.25E-5;2.8666103631258;2.25E-5;-0.00246179147877476
2.3E-5;2.87156903743744;2.3E-5;-0.00246179147877476
2.35E-5;2.85669301450253;2.35E-5;-0.00248435600237413
2.4E-5;2.86165168881416;2.4E-5;-0.00248435600237413
2.45E-5;2.86165168881416;2.45E-5;-0.0024392269551754
2.5E-5;2.86165168881416;2.5E-5;-0.00246179147877476
2.55E-5;2.85669301450253;2.55E-5;-0.00246179147877476
2.6E-5;2.84677566587925;2.6E-5;-0.00248435600237413
2.65E-5;2.85669301450253;2.65E-5;-0.00246179147877476
2.7E-5;2.85173434019089;2.7E-5;-0.00248435600237413
2.75E-5;2.85173434019089;2.75E-5;-0.00246179147877476
2.8E-5;2.85173434019089;2.8E-5;-0.00246179147877476
2.85E-5;2.85173434019089;2.85E-5;-0.00246179147877476
2.9E-5;2.84677566587925;2.9E-5;-0.00246179147877476
2.95E-5;2.84181699156761;2.95E-5;-0.00248435600237413
3E-5;2.84181699156761;3E-5;-0.00248435600237413
3.05E-5;2.84181699156761;3.05E-5;-0.00246179147877476
3.1E-5;2.84181699156761;3.1E-5;-0.00246179147877476
3.15E-5;2.84181699156761;3.15E-5;-0.00246179147877476
3.2E-5;2.84181699156761;3.2E-5;-0.00246179147877476
3.25E-5;2.83685831725597;3.25E-5;-0.00248435600237413
3.3E-5;2.83685831725597;3.3E-5;-0.00246179147877476
3.35E-5;2.83189964294434;3.35E-5;-0.00246179147877476
3.4E-5;2.84181699156761;3.4E-5;-0.0024392269551754
3.45E-5;2.8269409686327;3.45E-5;-0.00246179147877476
3.5E-5;2.83189964294434;3.5E-5;-0.00246179147877476
3.55E-5;2.82198229432106;3.55E-5;-0.00248435600237413
3.6E-5;2.83685831725597;3.6E-5;-0.0024392269551754
3.65E-5;2.82198229432106;3.65E-5;-0.00248435600237413
3.7E-5;2.8269409686327;3.7E-5;-0.00246179147877476
3.75E-5;2.81702362000942;3.75E-5;-0.00248435600237413
3.8E-5;2.82198229432106;3.8E-5;-0.00248435600237413
3.85E-5;2.81702362000942;3.85E-5;-0.00248435600237413
3.9E-5;2.81206494569778;3.9E-5;-0.00248435600237413
3.95E-5;2.81206494569778;3.95E-5;-0.00248435600237413
4E-5;2.81206494569778;4E-5;-0.00246179147877476
4.05E-5;2.81702362000942;4.05E-5;-0.00246179147877476
4.1E-5;2.81702362000942;4.1E-5;-0.00246179147877476
4.15E-5;2.81206494569778;4.15E-5;-0.00246179147877476
4.2E-5;2.80710627138615;4.2E-5;-0.00248435600237413
4.25E-5;2.81206494569778;4.25E-5;-0.0024392269551754
4.3E-5;2.80710627138615;4.3E-5;-0.00248435600237413
4.35E-5;2.80214759707451;4.35E-5;-0.00248435600237413
4.4E-5;2.79718892276287;4.4E-5;-0.00250692052597349
4.45E-5;2.80214759707451;4.45E-5;-0.00248435600237413
4.5E-5;2.79718892276287;4.5E-5;-0.00248435600237413
4.55E-5;2.79718892276287;4.55E-5;-0.00246179147877476
4.6E-5;2.79718892276287;4.6E-5;-0.00246179147877476
4.65E-5;2.79718892276287;4.65E-5;-0.00246179147877476
4.7E-5;2.79718892276287;4.7E-5;-0.0024392269551754
4.75E-5;2.79223024845123;4.75E-5;-0.00248435600237413
4.8E-5;2.79223024845123;4.8E-5;-0.0024392269551754
4.85E-5;2.78727157413959;4.85E-5;-0.00246179147877476
4.9E-5;2.79223024845123;4.9E-5;-0.00246179147877476
4.95E-5;2.78231289982796;4.95E-5;-0.00248435600237413
5E-5;2.78727157413959;5E-5;-0.00246179147877476
5.05E-5;2.78231289982796;5.05E-5;-0.00246179147877476
5.1E-5;2.78231289982796;5.1E-5;-0.00246179147877476
5.15E-5;2.77735422551632;5.15E-5;-0.00248435600237413
5.2E-5;2.77735422551632;5.2E-5;-0.00246179147877476
5.25E-5;2.77735422551632;5.25E-5;-0.00246179147877476
5.3E-5;2.77735422551632;5.3E-5;-0.00248435600237413
5.35E-5;2.77735422551632;5.35E-5;-0.0024392269551754
5.4E-5;2.78231289982796;5.4E-5;-0.00241666243157604
5.45E-5;2.76743687689304;5.45E-5;-0.0024392269551754
5.5E-5;2.76247820258141;5.5E-5;-0.00250692052597349
5.55E-5;2.76743687689304;5.55E-5;-0.00246179147877476
5.6E-5;2.76743687689304;5.6E-5;-0.00248435600237413
5.65E-5;2.76743687689304;5.65E-5;-0.0024392269551754
5.7E-5;2.75751952826977;5.7E-5;-0.00248435600237413
5.75E-5;2.75751952826977;5.75E-5;-0.00248435600237413
5.8E-5;2.76247820258141;5.8E-5;-0.00246179147877476
5.85E-5;2.75256085395813;5.85E-5;-0.00248435600237413
5.9E-5;2.75751952826977;5.9E-5;-0.0024392269551754
5.95E-5;2.75256085395813;5.95E-5;-0.00246179147877476
6E-5;2.75751952826977;6E-5;-0.0024392269551754
6.05E-5;2.75256085395813;6.05E-5;-0.00246179147877476
6.1E-5;2.74760217964649;6.1E-5;-0.00248435600237413
6.15E-5;2.74760217964649;6.15E-5;-0.00248435600237413
6.2E-5;2.75256085395813;6.2E-5;-0.00246179147877476
6.25E-5;2.74760217964649;6.25E-5;-0.00246179147877476
6.3E-5;2.74760217964649;6.3E-5;-0.00246179147877476
6.35E-5;2.73768483102322;6.35E-5;-0.00246179147877476
6.4E-5;2.73768483102322;6.4E-5;-0.00250692052597349
6.45E-5;2.73768483102322;6.45E-5;-0.00246179147877476
6.5E-5;2.73768483102322;6.5E-5;-0.00246179147877476
6.55E-5;2.73272615671158;6.55E-5;-0.0024392269551754
6.6E-5;2.73272615671158;6.6E-5;-0.00246179147877476
6.65E-5;2.73768483102322;6.65E-5;-0.0024392269551754
6.7E-5;2.73272615671158;6.7E-5;-0.00248435600237413
6.75E-5;2.73768483102322;6.75E-5;-0.0024392269551754
6.8E-5;2.72776748239994;6.8E-5;-0.00248435600237413
6.85E-5;2.72776748239994;6.85E-5;-0.00248435600237413
6.9E-5;2.72776748239994;6.9E-5;-0.00246179147877476
6.95E-5;2.7228088080883;6.95E-5;-0.00248435600237413
7E-5;2.7228088080883;7E-5;-0.00246179147877476
7.05E-5;2.71785013377666;7.05E-5;-0.00248435600237413
7.1E-5;2.71785013377666;7.1E-5;-0.00248435600237413
7.15E-5;2.71785013377666;7.15E-5;-0.00248435600237413
7.2E-5;2.71785013377666;7.2E-5;-0.0024392269551754
7.25E-5;2.71289145946503;7.25E-5;-0.00248435600237413
7.3E-5;2.71289145946503;7.3E-5;-0.0024392269551754
7.35E-5;2.70793278515339;7.35E-5;-0.00246179147877476
7.4E-5;2.71785013377666;7.4E-5;-0.0024392269551754
7.45E-5;2.70793278515339;7.45E-5;-0.0024392269551754
7.5E-5;2.70793278515339;7.5E-5;-0.0024392269551754
7.55E-5;2.70297411084175;7.55E-5;-0.00246179147877476
7.6E-5;2.70297411084175;7.6E-5;-0.00246179147877476
7.65E-5;2.70297411084175;7.65E-5;-0.00246179147877476
7.7E-5;2.69801543653011;7.7E-5;-0.00248435600237413
7.75E-5;2.69305676221848;7.75E-5;-0.00248435600237413
7.8E-5;2.69801543653011;7.8E-5;-0.00246179147877476
7.85E-5;2.69305676221848;7.85E-5;-0.0024392269551754
7.9E-5;2.68809808790684;7.9E-5;-0.00248435600237413
7.95E-5;2.69305676221848;7.95E-5;-0.00246179147877476
8E-5;2.69305676221848;8E-5;-0.00246179147877476
8.05E-5;2.69305676221848;8.05E-5;-0.0024392269551754
8.1E-5;2.6831394135952;8.1E-5;-0.00246179147877476
8.15E-5;2.6831394135952;8.15E-5;-0.00246179147877476
8.2E-5;2.6831394135952;8.2E-5;-0.00248435600237413
8.25E-5;2.67818073928356;8.25E-5;-0.00248435600237413
8.3E-5;2.67818073928356;8.3E-5;-0.00248435600237413
8.35E-5;2.67322206497192;8.35E-5;-0.00248435600237413
8.4E-5;2.67322206497192;8.4E-5;-0.00246179147877476
8.45E-5;2.66826339066029;8.45E-5;-0.00248435600237413
8.5E-5;2.67322206497192;8.5E-5;-0.0024392269551754
8.55E-5;2.66826339066029;8.55E-5;-0.00246179147877476
8.6E-5;2.66826339066029;8.6E-5;-0.00246179147877476
8.65E-5;2.66826339066029;8.65E-5;-0.0024392269551754
8.7E-5;2.66826339066029;8.7E-5;-0.0024392269551754
8.75E-5;2.65834604203701;8.75E-5;-0.00248435600237413
8.8E-5;2.66330471634865;8.8E-5;-0.00246179147877476
8.85E-5;2.65834604203701;8.85E-5;-0.00246179147877476
8.9E-5;2.65834604203701;8.9E-5;-0.00248435600237413
8.95E-5;2.65338736772537;8.95E-5;-0.00246179147877476
9E-5;2.65338736772537;9E-5;-0.00246179147877476
9.05E-5;2.65338736772537;9.05E-5;-0.00246179147877476
9.1E-5;2.65338736772537;9.1E-5;-0.00246179147877476
9.15E-5;2.64842869341373;9.15E-5;-0.00246179147877476
9.2E-5;2.64842869341373;9.2E-5;-0.00246179147877476
9.25E-5;2.64842869341373;9.25E-5;-0.00246179147877476
9.3E-5;2.6434700191021;9.3E-5;-0.00246179147877476
9.35E-5;2.65834604203701;9.35E-5;-0.0024392269551754
9.4E-5;2.64842869341373;9.4E-5;-0.0024392269551754
9.45E-5;2.63851134479046;9.45E-5;-0.00246179147877476
9.5E-5;2.63355267047882;9.5E-5;-0.00246179147877476
9.55E-5;2.63355267047882;9.55E-5;-0.00248435600237413
9.6E-5;2.63355267047882;9.6E-5;-0.00248435600237413
9.65E-5;2.63355267047882;9.65E-5;-0.00246179147877476
9.7E-5;2.62859399616718;9.7E-5;-0.00248435600237413
9.75E-5;2.62363532185554;9.75E-5;-0.00248435600237413
9.8E-5;2.63355267047882;9.8E-5;-0.0024392269551754
9.85E-5;2.62363532185554;9.85E-5;-0.00246179147877476
9.9E-5;2.62859399616718;9.9E-5;-0.0024392269551754
9.95E-5;2.61867664754391;9.95E-5;-0.00246179147877476
0.0001;2.62859399616718;0.0001;-0.00246179147877476
0.0001005;2.61867664754391;0.0001005;-0.0024392269551754
0.000101;2.61867664754391;0.000101;-0.00248435600237413
0.0001015;2.61371797323227;0.0001015;-0.00248435600237413
0.000102;2.61371797323227;0.000102;-0.00246179147877476
0.0001025;2.61371797323227;0.0001025;-0.00246179147877476
0.000103;2.61371797323227;0.000103;-0.00246179147877476
0.0001035;2.60380062460899;0.0001035;-0.00248435600237413
0.000104;2.60875929892063;0.000104;-0.00246179147877476
0.0001045;2.60380062460899;0.0001045;-0.0024392269551754
0.000105;2.59884195029736;0.000105;-0.00248435600237413
0.0001055;2.60380062460899;0.0001055;-0.0024392269551754
0.000106;2.59884195029736;0.000106;-0.00246179147877476
0.0001065;2.59884195029736;0.0001065;-0.0024392269551754
0.000107;2.59388327598572;0.000107;-0.00248435600237413
0.0001075;2.59388327598572;0.0001075;-0.00246179147877476
0.000108;2.59388327598572;0.000108;-0.00248435600237413
0.0001085;2.59388327598572;0.0001085;-0.0024392269551754
