Temps;EA0;Temps;EA1;Temps;I
0;-0.0342141091823578;0;-5.51571770757437;0;-0.374680661906799
1E-6;-0.00446206331253052;1E-6;-5.47600414603949;1E-6;-0.384623528768619
2E-6;0.0203313082456589;2E-6;-5.45118317008018;2E-6;-0.377994950860739
3E-6;0.0401660054922104;3E-6;-5.42139799892902;3E-6;-0.364737795044978
4E-6;0.055042028427124;4E-6;-5.39657702296972;4E-6;-0.363080650568008
5E-6;0.0699180513620377;5E-6;-5.37672024220228;5E-6;-0.358109217137098
6E-6;0.0996700972318649;6E-6;-5.34197087585926;6E-6;-0.353137783706188
7E-6;0.114546120166779;7E-6;-5.31714989989996;7E-6;-0.346509205798308
8E-6;0.139339491724968;8E-6;-5.27743633836508;8E-6;-0.359766361614068
9E-6;0.159174188971519;9E-6;-5.25261536240578;9E-6;-0.368052083998919
1E-5;0.179008886218071;1E-5;-5.21786599606276;1E-5;-0.341537772367398
1.1E-5;0.20380225777626;1.1E-5;-5.17815243452787;1.1E-5;-0.358109217137098
1.2E-5;0.223636955022812;1.2E-5;-5.14340306818485;1.2E-5;-0.368052083998919
1.3E-5;0.243471652269363;1.3E-5;-5.10865370184183;1.3E-5;-0.371366372952859
1.4E-5;0.278182372450829;1.4E-5;-5.06397594511509;1.4E-5;-0.364737795044978
1.5E-5;0.29801706969738;1.5E-5;-5.02426238358021;1.5E-5;-0.364737795044978
1.6E-5;0.322810441255569;1.6E-5;-4.98454882204533;1.6E-5;-0.356452072660128
1.7E-5;0.342645138502121;1.7E-5;-4.9497994557023;1.7E-5;-0.353137783706188
1.8E-5;0.347603812813759;1.8E-5;-4.924978479743;1.8E-5;-0.354794928183158
1.9E-5;0.36743851006031;1.9E-5;-4.89022911339998;1.9E-5;-0.339880627890428
2E-5;0.397190555930138;2E-5;-4.84058716148138;2E-5;-0.341537772367398
2.1E-5;0.412066578865051;2.1E-5;-4.8008735999465;2.1E-5;-0.334909194459518
2.2E-5;0.436859950423241;2.2E-5;-4.76116003841162;2.2E-5;-0.328280616551638
2.3E-5;0.456694647669792;2.3E-5;-4.72144647687674;2.3E-5;-0.341537772367398
2.4E-5;0.476529344916344;2.4E-5;-4.68173291534185;2.4E-5;-0.344852061321338
2.5E-5;0.496364042162895;2.5E-5;-4.64201935380697;2.5E-5;-0.343194916844368
2.6E-5;0.516198739409447;2.6E-5;-4.59734159708023;2.6E-5;-0.346509205798308
2.7E-5;0.550909459590912;2.7E-5;-4.53777125477791;2.7E-5;-0.341537772367398
2.8E-5;0.565785482525826;2.8E-5;-4.49805769324303;2.8E-5;-0.348166350275278
2.9E-5;0.585620179772377;2.9E-5;-4.45834413170815;2.9E-5;-0.326623472074668
3E-5;0.595537528395653;3E-5;-4.41863057017326;3E-5;-0.319994894166787
3.1E-5;0.615372225642204;3.1E-5;-4.37891700863838;3.1E-5;-0.316680605212847
3.2E-5;0.630248248577118;3.2E-5;-4.3392034471035;3.2E-5;-0.315023460735877
