Temps;EA0;Temps;EA1
0;-0.693717792630196;0;1.76675663888454
1E-6;-0.678841769695282;1E-6;1.76675663888454
2E-6;-0.678841769695282;2E-6;1.75186405330896
3E-6;-0.65900707244873;3E-6;1.75186405330896
4E-6;-0.644131049513817;4E-6;1.75186405330896
5E-6;-0.629255026578903;5E-6;1.75186405330896
6E-6;-0.629255026578903;6E-6;1.73697146773338
7E-6;-0.609420329332352;7E-6;1.74193566292524
8E-6;-0.604461655020714;8E-6;1.7220788821578
9E-6;-0.594544306397438;9E-6;1.71711468696594
1E-5;-0.584626957774162;1E-5;1.71215049177408
1.1E-5;-0.569750934839249;1.1E-5;1.70718629658222
1.2E-5;-0.559833586215973;1.2E-5;1.70718629658222
1.3E-5;-0.544957563281059;1.3E-5;1.70718629658222
1.4E-5;-0.530081540346146;1.4E-5;1.70718629658222
1.5E-5;-0.52016419172287;1.5E-5;1.70718629658222
1.6E-5;-0.505288168787956;1.6E-5;1.70718629658222
1.7E-5;-0.485453471541405;1.7E-5;1.71215049177408
1.8E-5;-0.470577448606491;1.8E-5;1.71711468696594
1.9E-5;-0.455701425671577;1.9E-5;1.71711468696594
2E-5;-0.445784077048302;2E-5;1.71711468696594
2.1E-5;-0.435866728425026;2.1E-5;1.71711468696594
2.2E-5;-0.42594937980175;2.2E-5;1.71711468696594
2.3E-5;-0.416032031178474;2.3E-5;1.71711468696594
2.4E-5;-0.391238659620285;2.4E-5;1.72704307734966
2.5E-5;-0.381321310997009;2.5E-5;1.73200727254152
2.6E-5;-0.361486613750458;2.6E-5;1.7468998581171
2.7E-5;-0.351569265127182;2.7E-5;1.75186405330896
2.8E-5;-0.336693242192268;2.8E-5;1.75682824850082
2.9E-5;-0.316858544945717;2.9E-5;1.76675663888454
3E-5;-0.297023847699165;3E-5;1.78661341965199
3.1E-5;-0.277189150452614;3.1E-5;1.81143439561129
3.2E-5;-0.2623131275177;3.2E-5;1.82136278599501
3.3E-5;-0.252395778894424;3.3E-5;1.83129117637873
3.4E-5;-0.242478430271149;3.4E-5;1.84121956676245
3.5E-5;-0.227602407336235;3.5E-5;1.85114795714617
3.6E-5;-0.207767710089684;3.6E-5;1.87596893310547
3.7E-5;-0.197850361466408;3.7E-5;1.88589732348919
3.8E-5;-0.178015664219856;3.8E-5;1.91071829944849
3.9E-5;-0.163139641284943;3.9E-5;1.92561088502407
4E-5;-0.138346269726753;4E-5;1.94546766579151
4.1E-5;-0.128428921103477;4.1E-5;1.96532444655895
4.2E-5;-0.113552898168564;4.2E-5;1.98021703213453
4.3E-5;-0.0887595266103745;4.3E-5;2.01000220328569
4.4E-5;-0.0689248293638229;4.4E-5;2.03978737443686
4.5E-5;-0.0490901321172714;4.5E-5;2.0596441552043
4.6E-5;-0.0391727834939957;4.6E-5;2.07453674077988
4.7E-5;-0.024296760559082;4.7E-5;2.09935771673918
4.8E-5;-0.0094207376241684;4.8E-5;2.11425030231476
4.9E-5;0.0104139596223831;4.9E-5;2.14403547346592
5E-5;0.0252899825572968;5E-5;2.16389225423336
5.1E-5;0.0401660054922104;5.1E-5;2.18871323019266
5.2E-5;0.0600007027387619;5.2E-5;2.21353420615196
5.3E-5;0.0798353999853134;5.3E-5;2.24331937730312
5.4E-5;0.0897527486085892;5.4E-5;2.26814035326242
5.5E-5;0.109587445855141;5.5E-5;2.28799713402987
5.6E-5;0.13438081741333;5.6E-5;2.32274650037289
5.7E-5;0.154215514659882;5.7E-5;2.35749586671591
5.8E-5;0.169091537594795;5.8E-5;2.38728103786707
5.9E-5;0.183967560529709;5.9E-5;2.41210201382637
6E-5;0.198843583464622;6E-5;2.43692298978567
6.1E-5;0.218678280711174;6.1E-5;2.46670816093683
6.2E-5;0.22859562933445;6.2E-5;2.49152913689613
6.3E-5;0.248430326581001;6.3E-5;2.52627850323915
6.4E-5;0.263306349515915;6.4E-5;2.55109947919846
6.5E-5;0.283141046762466;6.5E-5;2.58584884554148
6.6E-5;0.29801706969738;6.6E-5;2.61563401669264
6.7E-5;0.312893092632294;6.7E-5;2.64045499265194
6.8E-5;0.332727789878845;6.8E-5;2.68016855418682
6.9E-5;0.357521161437035;6.9E-5;2.72484631091356
7E-5;0.372397184371948;7E-5;2.75463148206472
7.1E-5;0.387273207306862;7.1E-5;2.78938084840775
7.2E-5;0.402149230241776;7.2E-5;2.81916601955891
7.3E-5;0.407107904553413;7.3E-5;2.83902280032635
7.4E-5;0.426942601799965;7.4E-5;2.87873636186123
7.5E-5;0.441818624734879;7.5E-5;2.91348572820425
7.6E-5;0.456694647669792;7.6E-5;2.94327089935541
7.7E-5;0.471570670604706;7.7E-5;2.98298446089029
7.8E-5;0.486446693539619;7.8E-5;3.01276963204145
7.9E-5;0.501322716474533;7.9E-5;3.04751899838448
8E-5;0.511240065097809;8E-5;3.0822683647275
8.1E-5;0.536033436655998;8.1E-5;3.12198192626238
8.2E-5;0.550909459590912;8.2E-5;3.16169548779726
8.3E-5;0.570744156837463;8.3E-5;3.20140904933214
8.4E-5;0.580661505460739;8.4E-5;3.2311942204833
8.5E-5;0.590578854084015;8.5E-5;3.26594358682632
8.6E-5;0.605454877018929;8.6E-5;3.30069295316935
8.7E-5;0.620330899953842;8.7E-5;3.33544231951237
8.8E-5;0.62528957426548;8.8E-5;3.37019168585539
8.9E-5;0.640165597200394;8.9E-5;3.40990524739027
9E-5;0.655041620135307;9E-5;3.43969041854143
9.1E-5;0.664958968758583;9.1E-5;3.47443978488445
9.2E-5;0.679834991693497;9.2E-5;3.51415334641933
