Temps;EA0;Temps;EA1;Temps;I
0;-0.906940788030624;0;-3.63925192505121;0;-0.000166010111570358
1E-6;-0.9168581366539;1E-6;-3.68889387696981;1E-6;-0.0101088769733906
2E-6;-0.926775485277176;2E-6;-3.7286074385047;2E-6;-0.00348029906551043
3E-6;-0.94165150821209;3E-6;-3.78321358561516;3E-6;-0.00845173249642054
4E-6;-0.956527531147003;4E-6;-3.83285553753376;4E-6;-0.00845173249642054
5E-6;-0.966444879770279;5E-6;-3.88746168464422;5E-6;-0.00845173249642054
6E-6;-0.976362228393555;6E-6;-3.93213944137096;6E-6;-0.00348029906551043
7E-6;-0.98627957701683;7E-6;-3.98178139328957;7E-6;-0.000166010111570358
8E-6;-0.996196925640106;8E-6;-4.02645915001631;8E-6;-0.0134231659273307
9E-6;-1.00611427426338;9E-6;-4.07113690674305;9E-6;-0.0183945993582408
1E-5;-1.01603162288666;1E-5;-4.12077885866165;1E-5;-0.0266803217430909
1.1E-5;-1.02594897150993;1.1E-5;-4.17042081058025;1.1E-5;-0.0399374775588512
1.2E-5;-1.03090764582157;1.2E-5;-4.21013437211514;1.2E-5;-0.0498803444206715
1.3E-5;-1.03586632013321;1.3E-5;-4.24488373845816;1.3E-5;-0.0631375002364318
1.4E-5;-1.04082499444485;1.4E-5;-4.29452569037676;1.4E-5;-0.0565089223285516
1.5E-5;-1.04082499444485;1.5E-5;-4.33423925191164;1.5E-5;-0.0614803557594617
1.6E-5;-1.05570101737976;1.6E-5;-4.38388120383024;1.6E-5;-0.0631375002364318
1.7E-5;-1.06561836600304;1.7E-5;-4.42855896055698;1.7E-5;-0.0548517778515816
1.8E-5;-1.07057704031467;1.8E-5;-4.47323671728373;1.8E-5;-0.0498803444206715
1.9E-5;-1.07553571462631;1.9E-5;-4.51791447401047;1.9E-5;-0.0598232112824917
2E-5;-1.08049438893795;2E-5;-4.55762803554535;2E-5;-0.0598232112824917
2.1E-5;-1.09041173756123;2.1E-5;-4.60726998746395;2.1E-5;-0.0664517891903718
2.2E-5;-1.09537041187286;2.2E-5;-4.64698354899883;2.2E-5;-0.074737511575222
2.3E-5;-1.1003290861845;2.3E-5;-4.69166130572557;2.3E-5;-0.0879946673909823
2.4E-5;-1.1003290861845;2.4E-5;-4.7264106720686;2.4E-5;-0.107880401114623
2.5E-5;-1.10528776049614;2.5E-5;-4.76612423360348;2.5E-5;-0.117823267976443
2.6E-5;-1.09537041187286;2.6E-5;-4.79590940475464;2.6E-5;-0.114508979022503
2.7E-5;-1.1003290861845;2.7E-5;-4.83562296628952;2.7E-5;-0.132737568269173
2.8E-5;-1.1003290861845;2.8E-5;-4.87037233263254;2.8E-5;-0.126108990361293
2.9E-5;-1.10528776049614;2.9E-5;-4.91505008935928;2.9E-5;-0.111194690068563
3E-5;-1.11024643480778;3E-5;-4.95972784608603;3E-5;-0.112851834545533
3.1E-5;-1.11024643480778;3.1E-5;-4.99447721242905;3.1E-5;-0.109537545591593
3.2E-5;-1.11520510911942;3.2E-5;-5.03419077396393;3.2E-5;-0.116166123499473
3.3E-5;-1.11520510911942;3.3E-5;-5.07390433549881;3.3E-5;-0.121137556930383
3.4E-5;-1.11520510911942;3.4E-5;-5.10865370184183;3.4E-5;-0.127766134838263
3.5E-5;-1.11024643480778;3.5E-5;-5.13843887299299;3.5E-5;-0.142680435130994
3.6E-5;-1.11024643480778;3.6E-5;-5.17815243452787;3.6E-5;-0.154280446469784
